Reporter Identifier	VALUE
ILMN_1762337	6.465
ILMN_2055271	6.833
ILMN_1736007	6.498
ILMN_2383229	10.53
ILMN_1806310	11.54
ILMN_1779670	7.077
ILMN_2321282	6.417
ILMN_1671474	6.536
ILMN_1772582	6.188
ILMN_1735698	6.379
ILMN_1653355	6.919
ILMN_1717783	6.121
ILMN_1705025	6.428
ILMN_1814316	6.18
ILMN_2359168	6.268
ILMN_1731507	6.342
ILMN_1787689	6.586
ILMN_1745607	7.338
ILMN_2136495	6.553
ILMN_1668111	6.37
ILMN_2295559	6.355
ILMN_1735045	6.745
ILMN_1680754	6.528
ILMN_2375184	6.451
ILMN_1659452	6.761
ILMN_1767388	6.559
ILMN_1675204	6.319
ILMN_1673870	6.508
ILMN_1755321	8.142
ILMN_1698554	10.6
ILMN_1814092	6.6
ILMN_1760414	6.413
ILMN_2061446	9.978
ILMN_1676336	8.249
ILMN_1752884	6.358
ILMN_1660703	6.456
ILMN_1668851	6.652
ILMN_2270015	6.597
ILMN_1809959	6.429
ILMN_2357031	6.65
ILMN_1726986	7.832
ILMN_1688755	7.493
ILMN_1880387	6.695
ILMN_1689211	6.352
ILMN_1653165	8.068
ILMN_1729835	6.238
ILMN_1662364	12.69
ILMN_1674698	9.735
ILMN_1700461	8.958
ILMN_1784269	9.127
ILMN_1698189	9.483
ILMN_2096191	11.67
ILMN_1678323	6.357
ILMN_2157219	6.484
ILMN_1703743	10.82
ILMN_1699334	6.543
ILMN_1687609	6.868
ILMN_2068874	6.277
ILMN_1670117	6.373
ILMN_1805104	7.307
ILMN_2404407	7.477
ILMN_1766054	10.28
ILMN_1753388	6.645
ILMN_2070570	7.638
ILMN_2232084	7.17
ILMN_1750250	6.299
ILMN_2361400	6.393
ILMN_1704579	6.399
ILMN_1687636	6.562
ILMN_1747627	7.162
ILMN_1758523	9.693
ILMN_1794965	7.143
ILMN_1722286	6.54
ILMN_1784176	7.367
ILMN_1749001	6.423
ILMN_1701551	6.371
ILMN_1795507	6.538
ILMN_1729894	6.307
ILMN_1743205	6.569
ILMN_2259319	6.552
ILMN_2129886	6.274
ILMN_1796801	6.665
ILMN_1720501	7.066
ILMN_1668446	6.612
ILMN_1812070	6.479
ILMN_2094875	6.196
ILMN_1665730	10.4
ILMN_2232066	6.513
ILMN_1767349	6.552
ILMN_1658257	6.297
ILMN_2193980	9.971
ILMN_1687840	10.83
ILMN_2102422	6.584
ILMN_1788928	6.364
ILMN_2343047	9.903
ILMN_2343048	11.27
ILMN_2335302	6.659
ILMN_1802404	6.576
ILMN_1776119	6.952
ILMN_2358714	6.27
ILMN_1732140	6.917
ILMN_1713008	6.68
ILMN_1762093	6.908
ILMN_1709092	6.47
ILMN_1678409	6.652
ILMN_1774344	6.623
ILMN_1676278	6.593
ILMN_1717466	6.49
ILMN_1677814	10.15
ILMN_1788457	10.77
ILMN_2194009	11.11
ILMN_2302358	6.628
ILMN_1706531	9.258
ILMN_1651964	10.25
ILMN_1725675	6.211
ILMN_1778352	6.486
ILMN_1725414	6.789
ILMN_2293902	6.007
ILMN_1801521	6.547
ILMN_2406654	6.811
ILMN_1767129	6.847
ILMN_1751453	6.38
ILMN_1746196	6.455
ILMN_2366473	6.628
ILMN_1772189	6.652
ILMN_1652959	6.638
ILMN_2198897	6.397
ILMN_1674032	9.112
ILMN_1737656	6.485
ILMN_2343917	6.474
ILMN_1746032	6.53
ILMN_1651501	6.694
ILMN_2330267	10.19
