Reporter Identifier	VALUE
ILMN_1750295	6.546
ILMN_1716480	7.911
ILMN_1715192	6.421
ILMN_2339410	6.384
ILMN_1779984	6.496
ILMN_1667018	7.501
ILMN_2333219	6.546
ILMN_1780485	6.715
ILMN_1735471	6.895
ILMN_1699636	9.92
ILMN_2371379	13.06
ILMN_1749014	12.39
ILMN_1727091	7.681
ILMN_1771348	9.267
ILMN_2134039	10.88
ILMN_1750800	12.03
ILMN_1654861	9.779
ILMN_2121389	6.486
ILMN_1715543	9.459
ILMN_1739594	9.13
ILMN_2353978	6.642
ILMN_1785474	6.66
ILMN_2188959	7.482
ILMN_1716237	9.892
ILMN_1764321	6.233
ILMN_2156699	6.478
ILMN_1788078	6.38
ILMN_1784756	6.265
ILMN_1728883	6.493
ILMN_1740265	10.96
ILMN_2252621	6.307
ILMN_2332250	9.509
ILMN_1719178	6.285
ILMN_1679600	8.215
ILMN_2367070	7.964
ILMN_1658995	9.456
ILMN_1750158	10.02
ILMN_1668839	7.081
ILMN_1765767	6.894
ILMN_1685703	7.806
ILMN_1743396	9.519
ILMN_1743680	6.411
ILMN_1669633	10.18
ILMN_2344956	12.64
ILMN_2104830	8.882
ILMN_2078599	6.524
ILMN_2234343	8.923
ILMN_1706598	7.657
ILMN_2306955	8.108
ILMN_1758323	10.53
ILMN_1728331	7.541
ILMN_2351906	6.481
ILMN_1705637	6.594
ILMN_1784203	6.485
ILMN_1666690	7.147
ILMN_1654468	7.648
ILMN_2320277	7.481
ILMN_2227011	6.73
ILMN_1730002	6.66
ILMN_1716832	6.531
ILMN_1684585	12.02
ILMN_2360705	11.84
ILMN_1654414	8.018
ILMN_1666096	8.667
ILMN_2391458	6.561
ILMN_2285506	8.126
ILMN_1691714	6.359
ILMN_1683598	7.711
ILMN_2370882	6.064
ILMN_2273911	6.754
ILMN_1807914	6.675
ILMN_1678517	6.301
ILMN_1705247	6.817
ILMN_1737418	6.503
ILMN_2278242	6.521
ILMN_1730025	6.446
ILMN_2378555	6.502
ILMN_1661434	6.488
ILMN_1809623	6.275
ILMN_1657592	6.458
ILMN_1765912	6.405
ILMN_1746128	6.408
ILMN_1685952	8.761
ILMN_1662738	8.697
ILMN_1771084	10.15
ILMN_1791923	6.457
ILMN_1801698	6.329
ILMN_1766966	6.373
ILMN_2070792	7.029
ILMN_1752269	6.547
ILMN_1697510	7.105
ILMN_2254962	6.442
ILMN_2336595	12.2
ILMN_1714197	12.56
ILMN_1742859	6.436
ILMN_1659885	6.451
ILMN_2125869	7.314
ILMN_1671703	12.05
ILMN_2152131	14.44
ILMN_1777296	14.49
ILMN_2038777	14.04
ILMN_1658660	6.152
ILMN_1829919	6.511
ILMN_2053178	15.52
ILMN_1704961	13.86
ILMN_1795325	8.167
ILMN_1749297	11.22
ILMN_2328280	10.73
ILMN_1657855	6.608
ILMN_1717900	6.602
ILMN_1796088	6.851
ILMN_1704078	6.902
ILMN_2232177	11.32
ILMN_1654422	7.603
ILMN_1665691	6.357
ILMN_1725534	9.832
ILMN_1798254	10.66
ILMN_1792314	11.72
ILMN_1695821	10.36
ILMN_2388605	11.72
ILMN_1657153	10.68
ILMN_2260392	8.027
ILMN_2346451	6.662
ILMN_1787513	7.256
