Reporter Identifier	VALUE
ILMN_1762337	6.347
ILMN_2055271	6.789
ILMN_1736007	6.411
ILMN_2383229	6.438
ILMN_1806310	6.51
ILMN_1779670	6.619
ILMN_2321282	6.273
ILMN_1671474	6.506
ILMN_1772582	6.411
ILMN_1735698	6.498
ILMN_1653355	6.893
ILMN_1717783	5.99
ILMN_1705025	6.539
ILMN_1814316	6.34
ILMN_2359168	6.292
ILMN_1731507	6.138
ILMN_1787689	6.619
ILMN_1745607	6.387
ILMN_2136495	6.627
ILMN_1668111	6.45
ILMN_2295559	6.427
ILMN_1735045	6.761
ILMN_1680754	6.457
ILMN_2375184	6.353
ILMN_1659452	6.269
ILMN_1767388	6.723
ILMN_1675204	6.249
ILMN_1673870	6.233
ILMN_1755321	8.176
ILMN_1698554	9.509
ILMN_1814092	6.558
ILMN_1760414	6.469
ILMN_2061446	8.816
ILMN_1676336	7.851
ILMN_1752884	6.45
ILMN_1660703	6.301
ILMN_1668851	6.23
ILMN_2270015	8.458
ILMN_1809959	6.623
ILMN_2357031	7.107
ILMN_1726986	10.91
ILMN_1688755	7.952
ILMN_1880387	6.537
ILMN_1689211	6.472
ILMN_1653165	8.51
ILMN_1729835	6.38
ILMN_1662364	13.81
ILMN_1674698	9.057
ILMN_1700461	10.65
ILMN_1784269	9.436
ILMN_1698189	9.658
ILMN_2096191	11.33
ILMN_1678323	7.199
ILMN_2157219	7.577
ILMN_1703743	9.404
ILMN_1699334	6.628
ILMN_1687609	7.198
ILMN_2068874	6.329
ILMN_1670117	6.59
ILMN_1805104	7.386
ILMN_2404407	8.021
ILMN_1766054	8.811
ILMN_1753388	6.442
ILMN_2070570	7.832
ILMN_2232084	7.604
ILMN_1750250	6.496
ILMN_2361400	7.172
ILMN_1704579	6.389
ILMN_1687636	6.388
ILMN_1747627	8.212
ILMN_1758523	9.903
ILMN_1794965	6.972
ILMN_1722286	6.653
ILMN_1784176	6.626
ILMN_1749001	6.543
ILMN_1701551	6.403
ILMN_1795507	6.709
ILMN_1729894	6.128
ILMN_1743205	7.515
ILMN_2259319	6.351
ILMN_2129886	6.298
ILMN_1796801	6.422
ILMN_1720501	7.228
ILMN_1668446	6.535
ILMN_1812070	6.347
ILMN_2094875	6.049
ILMN_1665730	8.555
ILMN_2232066	7.384
ILMN_1767349	6.631
ILMN_1658257	6.282
ILMN_2193980	10.13
ILMN_1687840	9.993
ILMN_2102422	6.733
ILMN_1788928	6.741
ILMN_2343047	7.759
ILMN_2343048	9.112
ILMN_2335302	6.521
ILMN_1802404	7.374
ILMN_1776119	7.377
ILMN_2358714	6.505
ILMN_1732140	7.051
ILMN_1713008	6.734
ILMN_1762093	6.976
ILMN_1709092	6.332
ILMN_1678409	6.418
ILMN_1774344	6.78
ILMN_1676278	6.38
ILMN_1717466	6.539
ILMN_1677814	6.432
ILMN_1788457	10.65
ILMN_2194009	10.77
ILMN_2302358	6.605
ILMN_1706531	9.961
ILMN_1651964	10.42
ILMN_1725675	6.483
ILMN_1778352	6.43
ILMN_1725414	6.144
ILMN_2293902	6.429
ILMN_1801521	6.427
ILMN_2406654	7.182
ILMN_1767129	7.132
ILMN_1751453	6.412
ILMN_1746196	6.626
ILMN_2366473	6.681
ILMN_1772189	8.049
ILMN_1652959	6.207
ILMN_2198897	6.466
ILMN_1674032	8.283
ILMN_1737656	6.366
ILMN_2343917	6.466
ILMN_1746032	6.289
ILMN_1651501	6.582
ILMN_2330267	10.86
ILMN_1676846	10.82
ILMN_2392635	10.1
ILMN_1763875	12.17
ILMN_2284941	6.099
ILMN_1781999	9.169
ILMN_1669201	8.441
ILMN_1810085	7.587
ILMN_1658176	8.406
ILMN_2262362	6.392
ILMN_1743638	6.551
ILMN_2329927	7.133
ILMN_1794782	7.25
ILMN_1695968	6.564
ILMN_1789641	6.37
ILMN_1779470	6.42
ILMN_1716592	7.172
ILMN_1680309	6.449
ILMN_1743371	7.319
ILMN_1770031	9.681
ILMN_2338268	8.619
ILMN_1753912	6.331
ILMN_1737475	8.882
ILMN_1745116	8.746
ILMN_2318685	8.166
ILMN_2245305	7.874
ILMN_1707925	6.512
ILMN_1698311	6.617
ILMN_2367487	6.481
ILMN_1785285	6.531
ILMN_2073969	6.81
ILMN_1794213	9.692
ILMN_2227533	8.141
ILMN_2403446	8.575
ILMN_1787618	6.744
ILMN_1723662	8.49
ILMN_1801767	9.104
ILMN_1700633	8.159
ILMN_1655702	8.758
ILMN_1706344	8.513
ILMN_1719498	8.238
ILMN_1712707	10.65
ILMN_1699750	6.81
ILMN_1739081	6.446
ILMN_2329958	8.014
ILMN_1775944	6.972
ILMN_1724497	8.112
ILMN_1720988	6.972
ILMN_1707274	6.231
ILMN_1755658	7.182
ILMN_1673639	6.488
ILMN_1713732	10.69
ILMN_1708922	6.915
ILMN_2268241	6.537
ILMN_1741628	6.652
ILMN_1657870	6.581
ILMN_2240003	6.658
ILMN_1785424	10.21
ILMN_1731610	7.084
ILMN_1696682	6.673
ILMN_2396672	8.907
ILMN_1758825	6.346
ILMN_1656940	6.484
ILMN_1656979	6.166
ILMN_1731433	6.751
ILMN_1672878	10.66
ILMN_1655114	6.615
ILMN_1657045	6.426
ILMN_1766991	6.495
ILMN_1658083	7.442
ILMN_1802096	8.277
ILMN_2367165	6.506
ILMN_1753370	7.481
ILMN_1738921	10.78
ILMN_1660199	7.618
ILMN_2331636	12.61
ILMN_1772123	11.69
ILMN_1667641	6.484
ILMN_1763852	7.998
ILMN_1687303	8.82
ILMN_1761058	9.643
ILMN_2225595	9.702
ILMN_1724699	8.542
ILMN_1775579	11.07
ILMN_1660890	6.429
ILMN_1778104	11.03
ILMN_2053679	12.44
ILMN_1795104	7.483
ILMN_1740920	7.868
ILMN_2263466	7.107
ILMN_1806408	12.6
ILMN_2352009	10.6
ILMN_1693148	6.246
ILMN_1800008	12.62
ILMN_2133799	7.461
ILMN_1708672	11.54
ILMN_1665945	10.67
ILMN_1676288	7.005
ILMN_1693250	7.124
ILMN_2295980	6.318
ILMN_2410362	6.792
ILMN_1684271	8.941
ILMN_1726388	7.81
ILMN_2106002	6.529
ILMN_1779685	6.378
ILMN_1665932	6.44
ILMN_1769694	8.43
ILMN_1727251	6.308
ILMN_1734479	7.114
ILMN_2368728	6.357
ILMN_2394902	6.451
ILMN_2394897	6.664
ILMN_2287535	6.411
ILMN_1750295	6.423
ILMN_1716480	7.945
ILMN_1715192	6.509
ILMN_2339410	6.425
ILMN_1779984	6.38
ILMN_1667018	7.228
ILMN_2333219	6.378
ILMN_1780485	6.515
ILMN_1735471	6.569
ILMN_1699636	8.772
ILMN_2371379	12.45
ILMN_1749014	11.64
ILMN_1727091	7.67
ILMN_1771348	9.302
ILMN_2134039	11.48
ILMN_1750800	11.77
ILMN_1654861	9.647
ILMN_2121389	6.331
ILMN_1715543	8.755
ILMN_1739594	9.422
ILMN_2353978	6.565
ILMN_1785474	6.375
ILMN_2188959	7.661
ILMN_1716237	9.113
ILMN_1764321	6.266
ILMN_2156699	6.292
ILMN_1788078	6.463
ILMN_1784756	6.296
ILMN_1728883	6.674
ILMN_1740265	11.35
ILMN_2252621	6.448
ILMN_2332250	9.33
ILMN_1719178	6.14
ILMN_1679600	8.24
ILMN_2367070	8.713
ILMN_1658995	9.048
ILMN_1750158	10.13
ILMN_1668839	6.756
ILMN_1765767	6.293
ILMN_1685703	8.167
ILMN_1743396	9.821
ILMN_1743680	6.464
ILMN_1669633	10.27
ILMN_2344956	11.76
ILMN_2104830	8.703
ILMN_2078599	6.51
ILMN_2234343	8.973
ILMN_1706598	7.559
ILMN_2306955	7.869
ILMN_1758323	9.964
ILMN_1728331	7.741
ILMN_2351906	6.364
ILMN_1705637	6.634
ILMN_1784203	6.284
ILMN_1666690	7.364
ILMN_1654468	8.203
ILMN_2320277	7.983
ILMN_2227011	6.6
ILMN_1730002	6.655
ILMN_1716832	6.968
ILMN_1684585	12.24
ILMN_2360705	11.39
ILMN_1654414	6.855
ILMN_1666096	8.454
ILMN_2391458	6.347
ILMN_2285506	8.247
ILMN_1691714	6.05
ILMN_1683598	7.537
ILMN_2370882	6.332
ILMN_2273911	6.471
ILMN_1807914	6.138
ILMN_1678517	6.502
ILMN_1705247	7.071
ILMN_1737418	6.68
ILMN_2278242	6.369
ILMN_1730025	6.307
ILMN_2378555	6.582
ILMN_1661434	6.48
ILMN_1809623	6.315
ILMN_1657592	6.538
ILMN_1765912	6.333
ILMN_1746128	6.453
ILMN_1685952	8.764
ILMN_1662738	9.696
ILMN_1771084	10.12
ILMN_1791923	6.548
ILMN_1801698	6.217
ILMN_1766966	6.396
ILMN_2070792	6.722
ILMN_1752269	6.468
ILMN_1697510	6.557
ILMN_2254962	6.365
ILMN_2336595	11.92
ILMN_1714197	12.23
ILMN_1742859	6.419
ILMN_1659885	6.544
ILMN_2125869	8.266
ILMN_1671703	12.72
ILMN_2152131	13.67
ILMN_1777296	13.12
ILMN_2038777	12.95
ILMN_1658660	6.251
ILMN_1829919	6.623
ILMN_2053178	15.42
ILMN_1704961	13.29
ILMN_1795325	9.573
ILMN_1749297	11.17
ILMN_2328280	10.57
ILMN_1657855	6.563
ILMN_1717900	6.38
ILMN_1796088	6.704
ILMN_1704078	6.637
ILMN_2232177	11.15
ILMN_1654422	7.856
ILMN_1665691	6.4
ILMN_1725534	9.711
ILMN_1798254	10.42
ILMN_1792314	12.42
ILMN_1695821	9.776
ILMN_2388605	11.52
ILMN_1657153	10.91
ILMN_2260392	7.028
ILMN_2346451	6.701
ILMN_1787513	6.848
ILMN_1680941	6.459
ILMN_1652594	8.897
ILMN_1697585	11.49
ILMN_1689162	8.111
ILMN_1815392	7.129
ILMN_1760490	9.672
ILMN_1786544	6.676
ILMN_1763916	6.712
ILMN_2243308	10.96
ILMN_1766723	6.383
ILMN_1689217	6.143
ILMN_1670912	6.872
ILMN_2152711	8.453
ILMN_1668983	6.432
ILMN_1824337	6.403
ILMN_1807493	6.383
ILMN_1683883	11.22
ILMN_1670193	6.412
ILMN_2319825	7.26
ILMN_1694233	9.13
ILMN_1686432	7.007
ILMN_1697550	6.559
ILMN_2158705	8.924
ILMN_1803686	8.953
ILMN_1745580	6.36
ILMN_1745108	6.54
ILMN_1725043	8.018
ILMN_2148360	7.332
ILMN_1718946	8.859
ILMN_1711374	6.47
ILMN_1726266	6.441
ILMN_1705689	6.485
ILMN_1785393	6.195
ILMN_2384544	9.235
ILMN_1756920	13.99
ILMN_1799728	7.211
ILMN_1751500	8.431
ILMN_2121068	8.534
ILMN_1765779	6.947
ILMN_2201386	6.43
ILMN_1682225	6.538
