Reporter Identifier	VALUE
ILMN_1788481	6.597
ILMN_1713751	6.398
ILMN_1662675	8.774
ILMN_1737629	6.646
ILMN_1812112	6.567
ILMN_1675210	7.31
ILMN_1706302	6.428
ILMN_2351754	6.282
ILMN_2060086	6.691
ILMN_1664236	6.717
ILMN_1664631	6.353
ILMN_1802100	6.332
ILMN_2194158	6.382
ILMN_2100871	6.666
ILMN_1703383	6.444
ILMN_1806841	6.805
ILMN_1798045	6.518
ILMN_2293012	6.377
ILMN_1651657	6.66
ILMN_1671297	6.54
ILMN_1669486	6.385
ILMN_1795204	6.306
ILMN_2223911	6.282
ILMN_1685531	6.171
ILMN_1764554	6.532
ILMN_2302214	6.412
ILMN_1783312	6.539
ILMN_2143210	6.536
ILMN_1750294	7.417
ILMN_1708348	6.981
ILMN_1727524	8.675
ILMN_1716909	6.627
ILMN_2103107	6.344
ILMN_1673566	11.29
ILMN_1751168	6.634
ILMN_1660970	6.204
ILMN_1787386	6.234
ILMN_2286570	6.261
ILMN_2413732	6.962
ILMN_1873412	6.626
ILMN_1676452	6.296
ILMN_2358134	6.238
ILMN_1683781	6.413
ILMN_1726247	6.493
ILMN_1682989	6.476
ILMN_1739872	6.655
ILMN_1770152	6.45
ILMN_1656171	6.721
ILMN_1796628	6.378
ILMN_1811765	6.003
ILMN_1791795	6.437
ILMN_1787908	6.515
ILMN_1651717	6.453
ILMN_1703803	6.439
ILMN_2092933	6.739
ILMN_1681886	6.275
ILMN_1767362	6.391
ILMN_2211790	6.249
ILMN_1672403	6.36
ILMN_1805543	6.626
ILMN_1706992	6.344
ILMN_1684919	6.282
ILMN_1727084	6.503
ILMN_1705250	7.246
ILMN_1722621	6.339
ILMN_1721495	6.462
ILMN_1798690	6.605
ILMN_1687035	6.737
ILMN_1777683	6.343
ILMN_1762294	7.084
ILMN_1793040	6.829
ILMN_1776777	11.57
ILMN_1706963	6.395
ILMN_2320964	9.583
ILMN_1697628	6.746
ILMN_2319326	7.976
ILMN_1657442	6.745
ILMN_1679797	9.841
ILMN_1749493	6.519
ILMN_1657139	8.874
ILMN_1806275	8.299
ILMN_1659599	6.523
ILMN_1698777	8.347
ILMN_1663132	10.53
ILMN_1700349	7.633
ILMN_1761309	7.42
ILMN_2120555	8.488
ILMN_1742073	7.098
ILMN_1810691	7.372
ILMN_1676893	10.37
ILMN_2148944	6.304
ILMN_1708588	6.478
ILMN_2311674	7.386
ILMN_1685156	8.238
ILMN_1655935	7.224
ILMN_1754440	6.46
ILMN_1654287	7.045
ILMN_1763344	7.076
ILMN_1711736	6.368
ILMN_2356786	6.998
ILMN_1759252	12.38
ILMN_1678791	6.291
ILMN_2336146	6.284
ILMN_2286339	6.305
ILMN_1694133	6.753
ILMN_1678501	6.203
ILMN_1787378	9.093
ILMN_1814526	10.47
ILMN_2311278	8.71
ILMN_2138765	7.268
ILMN_1801077	6.643
ILMN_1764309	8.84
ILMN_1811598	6.35
ILMN_1740717	7.957
ILMN_2136010	6.821
ILMN_1797912	6.431
ILMN_1738604	7.582
ILMN_1691175	6.559
ILMN_2223359	6.4
ILMN_1702858	6.482
ILMN_2363634	6.359
ILMN_1813975	9.499
ILMN_1743331	6.407
ILMN_1775045	6.36
ILMN_2096322	9.319
ILMN_1688322	9.84
ILMN_2224833	10.51
ILMN_2358626	11.19
ILMN_1768062	8.044
ILMN_2358628	6.408
ILMN_1801020	8.671
ILMN_1708934	8.883
ILMN_1702933	9.875
ILMN_1657993	10.37
ILMN_1666019	7.447
ILMN_2080751	10.27
ILMN_1690352	10.11
ILMN_2275396	6.265
ILMN_2373444	6.483
ILMN_1747227	7.072
ILMN_1807372	6.722
ILMN_1703946	8.266
ILMN_1733259	6.101
ILMN_1730710	8.89
ILMN_1793959	9.612
ILMN_1794512	6.474
ILMN_1795788	6.226
ILMN_1760335	9.905
ILMN_1788530	7.144
ILMN_1811480	10.37
ILMN_1813598	6.336
ILMN_1653821	6.263
ILMN_1780551	6.456
ILMN_1669227	6.784
ILMN_1709167	6.444
ILMN_1679754	6.602
ILMN_1716421	6.437
ILMN_1659371	8.446
ILMN_1677868	7.231
ILMN_1707445	6.18
ILMN_1733963	6.697
ILMN_1804255	6.193
ILMN_1695590	10.21
ILMN_1694007	6.5
ILMN_1673330	6.351
ILMN_1668900	6.655
ILMN_2389013	9.478
ILMN_1760143	11.13
ILMN_1790757	12.79
ILMN_2092664	10.5
ILMN_1778796	9.52
ILMN_1749804	6.599
ILMN_1720235	8.24
ILMN_2240009	6.626
ILMN_1736178	6.656
ILMN_1803376	8.613
ILMN_1712944	10.16
ILMN_2333107	8.604
ILMN_1707958	6.486
ILMN_1660424	6.459
ILMN_1701998	7.546
ILMN_1651235	6.58
ILMN_1694140	6.545
ILMN_1730995	6.81
ILMN_2404917	6.157
ILMN_1702696	6.511
ILMN_2084562	6.95
ILMN_1769563	6.498
ILMN_1673119	6.494
ILMN_2129015	8.453
ILMN_1725889	6.309
ILMN_1775235	8.492
ILMN_1677951	6.394
ILMN_1708502	10.01
ILMN_1705447	9.207
ILMN_1699172	6.987
ILMN_2409898	6.579
ILMN_2295698	6.037
ILMN_2066124	11.8
ILMN_1777797	6.767
ILMN_2095653	7.406
ILMN_1707551	11.03
ILMN_1782204	6.571
ILMN_2402766	8.046
ILMN_1767722	7.039
ILMN_2342841	7.749
ILMN_1802631	10.44
ILMN_2100055	6.283
ILMN_1887648	6.367
ILMN_1688627	6.557
ILMN_1672767	6.545
ILMN_2196642	6.246
ILMN_2308689	9.13
ILMN_2290776	7.273
ILMN_1777182	6.41
ILMN_1729777	6.413
ILMN_1690829	6.368
ILMN_2257015	6.489
ILMN_2064917	10.59
ILMN_1776153	8.058
ILMN_1772645	10.67
ILMN_1775082	6.378
ILMN_1680343	6.414
ILMN_2277492	6.34
ILMN_2371825	9.866
ILMN_1717468	6.647
ILMN_2274377	6.522
ILMN_1750235	6.594
ILMN_1664006	7.99
ILMN_1707169	6.48
ILMN_1779109	6.363
ILMN_1697790	6.174
ILMN_1679520	8.491
ILMN_1732176	7.268
ILMN_1681081	6.798
ILMN_2377430	8.744
ILMN_1661373	6.622
ILMN_2288175	6.417
ILMN_1654010	7.173
ILMN_1732672	6.351
ILMN_1730504	6.409
ILMN_1662049	9.03
ILMN_1740752	7.474
ILMN_1674759	6.888
ILMN_1794875	6.738
ILMN_1698209	8.472
ILMN_1814151	6.732
ILMN_2050246	6.334
ILMN_1728787	6.866
ILMN_2234605	6.333
ILMN_1770454	8.286
ILMN_1770336	6.451
ILMN_1714253	6.294
ILMN_1813530	6.466
ILMN_2223922	7.361
ILMN_1718071	8.848
ILMN_1814327	6.352
ILMN_2341343	6.328
ILMN_1775634	6.79
ILMN_1802458	10.11
ILMN_2307656	9.921
ILMN_1700183	6.36
ILMN_1709796	6.505
ILMN_1783963	6.513
ILMN_2134801	6.644
ILMN_1757807	7.063
ILMN_1673529	8.408
ILMN_1686370	7.08
ILMN_1809139	9.945
ILMN_1747504	8.873
ILMN_1666679	6.587
ILMN_1657862	12.91
ILMN_1770412	11.23
ILMN_1712786	7.73
ILMN_1680111	6.743
ILMN_1791006	7.338
ILMN_1714567	8.598
ILMN_1792495	6.755
ILMN_1752159	6.869
ILMN_1812640	13.66
ILMN_2162799	6.555
ILMN_1782679	6.178
ILMN_1703617	11.5
ILMN_1798308	8.499
ILMN_1730625	7.026
ILMN_2164164	6.408
ILMN_1703538	6.455
ILMN_1792473	6.926
ILMN_1771827	6.287
ILMN_2313821	12
ILMN_1717357	8.856
ILMN_1668408	10.25
ILMN_1667183	6.611
ILMN_1712639	6.503
ILMN_1704173	6.686
ILMN_1797974	9.456
ILMN_1688625	7.355
ILMN_1776916	6.364
ILMN_2113340	6.556
ILMN_1669557	6.62
ILMN_2214232	6.552
ILMN_1681301	6.212
ILMN_2103841	9.587
ILMN_2368268	6.613
ILMN_2415292	6.454
ILMN_1670282	6.539
ILMN_2261519	14.48
ILMN_1791236	6.426
ILMN_1723521	6.176
ILMN_2242299	6.885
ILMN_2312764	7.087
ILMN_1779965	10.16
ILMN_1670542	11.71
ILMN_1655645	8.281
ILMN_1716053	11.98
ILMN_1778173	11.98
ILMN_2338038	11.56
ILMN_1686522	6.372
ILMN_1764090	10.58
ILMN_1798249	9.296
ILMN_1656593	6.63
ILMN_2283473	6.313
ILMN_2387712	6.244
ILMN_1684305	6.366
ILMN_1712530	9.124
ILMN_1662598	6.484
ILMN_1718808	7.484
ILMN_1783818	6.342
ILMN_2293758	10.03
ILMN_1735539	7.129
ILMN_2280189	6.983
ILMN_1693220	9.257
ILMN_1684836	6.757
ILMN_1715532	6.537
ILMN_1686846	6.84
ILMN_2308950	8.043
ILMN_1709101	7.166
ILMN_1752247	7.133
ILMN_2396956	9.634
ILMN_1679987	6.125
ILMN_1673542	6.344
ILMN_1802537	6.418
ILMN_1675507	6.485
ILMN_1691959	6.864
ILMN_1737754	6.44
ILMN_1808905	7.435
ILMN_2268556	6.722
ILMN_2253207	6.42
ILMN_1734794	6.385
ILMN_1690818	6.697
ILMN_1770758	6.336
ILMN_2293529	6.317
ILMN_1703049	6.606
ILMN_1733690	7.706
ILMN_2410406	6.781
ILMN_1741572	9.21
ILMN_1768962	8.25
ILMN_2400663	6.84
ILMN_2396691	6.561
ILMN_1770673	7.399
ILMN_1728047	12.8
ILMN_1774938	7.249
ILMN_2380771	13.04
ILMN_1701731	6.435
ILMN_1672148	6.441
ILMN_1662507	6.241
ILMN_1668617	6.475
ILMN_1719154	6.597
ILMN_1773417	6.477
ILMN_2412336	7.498
ILMN_1730191	6.245
ILMN_1713124	9.306
ILMN_1668880	6.361
ILMN_1687757	7.375
ILMN_1685803	6.452
ILMN_1694985	6.425
ILMN_1692661	6.497
ILMN_2157277	14.9
ILMN_1677043	11.47
ILMN_2145396	8.827
ILMN_1718483	6.331
ILMN_2388507	12.35
ILMN_2410909	11.41
ILMN_1748661	6.524
ILMN_1726906	7.216
ILMN_1743347	6.62
ILMN_1733598	6.482
ILMN_1757130	6.686
ILMN_2325612	6.421
ILMN_2325610	6.512
ILMN_2377240	11.75
ILMN_1665982	10.19
ILMN_2404657	6.469
ILMN_1747577	8.546
ILMN_1679898	6.42
ILMN_1700047	6.992
ILMN_2385647	7.581
ILMN_1728309	6.577
ILMN_1708323	6.692
ILMN_2367126	6.474
ILMN_2271875	6.65
ILMN_1782939	7.587
ILMN_1682763	7.295
ILMN_1670870	11.79
ILMN_2051381	7.447
ILMN_2302716	10.53
ILMN_2096372	6.201
ILMN_1709348	6.653
ILMN_1748538	6.351
ILMN_2383707	7.963
ILMN_1807439	9.343
ILMN_2139970	10.19
ILMN_2150894	9.817
ILMN_1675398	8.621
ILMN_1802167	6.62
ILMN_1736539	6.595
ILMN_2182980	6.551
ILMN_1793859	9.154
ILMN_1702503	6.462
ILMN_1667564	8.114
ILMN_1794825	10.45
ILMN_2401641	9.684
ILMN_1727965	6.41
ILMN_1728662	6.817
ILMN_2363880	7.935
ILMN_1761514	6.396
ILMN_1763666	9.709
ILMN_2244841	6.833
ILMN_1656368	10.21
ILMN_1696099	7.756
ILMN_2406557	8.518
ILMN_2372403	8.153
ILMN_2372398	7.399
ILMN_1785284	11.26
ILMN_2096985	10.58
ILMN_1687508	6.528
ILMN_1763461	6.597
ILMN_2365176	6.725
ILMN_1681938	6.371
ILMN_1699258	6.383
ILMN_1761804	14.01
ILMN_1681374	6.729
ILMN_1736700	11.36
ILMN_2251253	6.795
ILMN_1741148	12.33
ILMN_1747716	6.619
ILMN_1755974	12.7
ILMN_1718093	8.22
ILMN_1730304	7.599
ILMN_1666325	8.006
ILMN_1660856	8.541
ILMN_2120982	7.947
ILMN_1743995	7.229
ILMN_2147503	8.967
ILMN_1761456	11.09
ILMN_1743635	8.597
ILMN_2191822	8.465
ILMN_1737945	7.118
ILMN_1722688	7.553
ILMN_1711886	11.54
ILMN_1806845	6.532
ILMN_1664449	11.39
ILMN_1771411	9.85
ILMN_2365686	10.6
ILMN_2271014	6.536
ILMN_1685413	11.82
ILMN_1732809	9.65
ILMN_1753135	6.681
ILMN_2276750	6.82
ILMN_1758038	8.14
ILMN_2375973	8.248
ILMN_1690252	9.727
ILMN_2134062	9.805
ILMN_1805673	7.932
ILMN_1657283	13.67
ILMN_1808792	9.991
ILMN_1761764	8.836
ILMN_1779190	7.865
ILMN_1796946	6.296
ILMN_1784583	6.289
ILMN_1681046	6.599
ILMN_1709474	6.932
ILMN_1713731	6.521
ILMN_1692332	6.469
ILMN_2137544	6.264
ILMN_1735987	6.32
ILMN_1676042	8.457
ILMN_1783443	8.225
ILMN_1729320	6.453
ILMN_2403534	7.078
ILMN_2276904	6.555
ILMN_1751975	6.433
ILMN_2393149	6.58
ILMN_1680996	7.236
ILMN_1792150	6.266
ILMN_1651466	6.313
ILMN_1797875	6.424
ILMN_1678255	6.784
ILMN_1752669	6.618
ILMN_2078697	6.592
ILMN_1811238	6.656
ILMN_1734630	6.409
ILMN_1701603	6.65
ILMN_1693789	13.36
ILMN_1801851	6.495
ILMN_1750256	9.668
ILMN_1700596	6.344
ILMN_1702322	6.285
ILMN_1690636	6.509
ILMN_1792449	6.486
ILMN_1765674	6.705
ILMN_1739942	11.04
ILMN_1787314	9.556
ILMN_1663897	6.776
ILMN_1701386	10.29
ILMN_1800958	10.08
ILMN_1760889	7.122
ILMN_2191902	6.388
ILMN_1729325	6.455
ILMN_1803384	6.412
ILMN_1797432	6.635
ILMN_1794728	6.713
ILMN_1715988	6.679
ILMN_1713315	6.357
ILMN_2194619	6.513
ILMN_1759670	10.73
ILMN_2367172	9.561
ILMN_1792741	8.642
ILMN_1794384	6.398
ILMN_1688019	6.521
ILMN_1751092	6.392
ILMN_1697611	6.235
ILMN_1695446	6.497
ILMN_1662681	6.713
ILMN_1788462	13.74
ILMN_1667994	12.03
ILMN_1788239	6.569
ILMN_1695759	8.854
ILMN_2397406	6.393
ILMN_1727258	6.578
ILMN_1723116	9.044
ILMN_1666258	7.311
ILMN_1660995	6.482
ILMN_1736412	9.581
ILMN_1778723	6.741
ILMN_1765460	6.668
ILMN_1725896	6.986
ILMN_1738233	6.616
ILMN_1670506	6.953
ILMN_1779374	10.22
ILMN_2394242	8.156
ILMN_1727023	9.081
ILMN_1683901	6.397
ILMN_1750880	6.708
ILMN_1792409	8.316
ILMN_1748141	6.715
ILMN_1778788	6.621
ILMN_1759312	6.331
ILMN_1701589	6.169
ILMN_1696830	6.309
ILMN_1786899	6.67
ILMN_1774447	6.59
ILMN_1660854	6.511
ILMN_1665307	6.443
ILMN_1731223	6.281
ILMN_1685834	6.893
ILMN_1725297	7.012
ILMN_1665331	7.7
ILMN_1713927	6.41
ILMN_1797796	6.125
ILMN_2294762	11.29
ILMN_2408219	6.172
ILMN_2094262	6.15
ILMN_2094261	6.438
ILMN_1726327	9.691
ILMN_1663313	13.87
ILMN_1719031	6.128
ILMN_2131123	6.349
ILMN_1801303	6.361
ILMN_1751102	6.647
ILMN_1694882	6.6
ILMN_2073157	6.619
ILMN_1785742	7.067
ILMN_2309549	7.557
ILMN_1801606	11.86
ILMN_1664435	6.607
ILMN_1804812	10.29
ILMN_1659553	7.948
ILMN_1770378	9.234
ILMN_2343563	9.757
ILMN_1726281	6.468
ILMN_1753773	6.528
ILMN_1722102	10.62
ILMN_1674988	6.463
ILMN_1793894	13.19
ILMN_1733096	6.438
ILMN_1813243	6.917
ILMN_1802973	9.818
ILMN_1723177	12.61
ILMN_2199284	8.192
ILMN_1696974	8.053
ILMN_1760727	9.783
ILMN_1665871	8.523
ILMN_1736340	10.79
ILMN_1677723	6.335
ILMN_2086890	6.645
ILMN_1774207	7.313
ILMN_1758443	6.392
ILMN_1669773	6.377
ILMN_2145501	6.144
ILMN_1772612	6.598
ILMN_1695193	6.579
ILMN_2143220	6.224
ILMN_1674376	6.744
ILMN_2386444	6.328
ILMN_1707727	6.462
ILMN_2166696	6.462
ILMN_1725518	6.346
ILMN_1813361	6.388
ILMN_2317186	6.629
ILMN_1684694	6.39
ILMN_1776363	6.129
ILMN_1652729	6.351
ILMN_1661875	8.855
ILMN_2390609	11.39
ILMN_1651943	6.502
ILMN_2112829	7.06
ILMN_2112834	6.425
ILMN_1813139	7.485
ILMN_1811239	6.614
ILMN_1794470	9.586
ILMN_1801464	7.55
ILMN_1735364	6.956
ILMN_1660778	6.65
ILMN_1692080	6.531
ILMN_1765091	9.007
ILMN_2341382	6.883
ILMN_1778304	6.405
ILMN_1766560	7.172
ILMN_1797873	6.358
ILMN_1675483	9.116
ILMN_2251062	6.575
ILMN_1799369	6.285
ILMN_1784292	8.119
ILMN_1687351	9.716
ILMN_2185563	10.86
ILMN_1716264	6.238
ILMN_1711828	8.345
ILMN_2115218	8.957
ILMN_2108709	10.83
ILMN_1690465	6.433
ILMN_1661833	8.523
ILMN_1689908	10.46
ILMN_1794070	6.968
ILMN_2148507	9.089
ILMN_1660183	6.226
ILMN_1667830	6.356
ILMN_1790351	6.412
ILMN_1807112	6.378
ILMN_1672356	7.818
ILMN_1662902	6.754
ILMN_1659156	9.393
ILMN_1675435	7.273
ILMN_2353431	8.037
